"dimension","target","sampler","seed","medESS","ESS1","mean1","var1","median1","Q1_1","Q3_1"
1,"N(10,0.2²)",AM,1,5359.786555418309,5359.786555418309,9.998622963391046,0.03934002806600745,9.997285753501478,9.863012440889104,10.132846767776893
1,"N(10,0.2²)",AM,2,6087.209633532994,6087.209633532994,9.996492795960577,0.04050829502797626,9.997454568499052,9.861458148277803,10.131070797891015
1,"N(10,0.2²)",AM,3,7211.489779841859,7211.489779841859,9.998291092137002,0.03948317376564603,10.000718006318987,9.862477800109655,10.133720369291783
1,"N(10,0.2²)",AM,4,7171.372515907732,7171.372515907732,10.000542058447039,0.03909862287619603,10.001215959103355,9.86521503337253,10.135213582293932
1,"N(10,0.2²)",AM,5,7638.524081719295,7638.524081719295,10.002721066967874,0.041049761862737455,10.00344921839887,9.863592470630362,10.141358998850025
1,"N(10,0.2²)",AM,6,7520.225070740051,7520.225070740051,10.000050943194314,0.04050566839748626,10.000454140488287,9.865027694987422,10.13411832869156
1,"N(10,0.2²)",AM,7,6977.060908049898,6977.060908049898,9.999404834021012,0.03945259808214985,9.99843369129315,9.86373250260233,10.134372472703106
1,"N(10,0.2²)",AM,8,8524.041430848138,8524.041430848138,10.003383173279099,0.04019598195873186,10.004419288499223,9.86822597082947,10.135917425288566
1,"N(10,0.2²)",AM,9,6887.214748365551,6887.214748365551,10.001330709638442,0.04022587781506104,10.000862831938889,9.865488886066956,10.136562025078725
1,"N(10,0.2²)",AM,10,6548.538092472614,6548.538092472614,9.997833901048025,0.03978470879366114,9.996835483177012,9.865127495679195,10.132599703875117
1,"N(2,5²)",RRWMH,1,897.9199102532172,897.9199102532172,1.912489357559668,26.76056176012199,1.855365893987514,-1.709375141907345,5.436726906939774
1,"N(2,5²)",RRWMH,2,867.9411990129933,867.9411990129933,1.852164245192713,25.49294825920725,1.8993352597783768,-1.5647215131520247,5.276925570238874
1,"N(2,5²)",RRWMH,3,1065.112277457466,1065.112277457466,2.0424443493400704,23.78543551141764,2.0794480728331437,-1.2034148502920623,5.286104988645712
1,"N(2,5²)",RRWMH,4,1055.7404225750058,1055.7404225750058,1.64572242853813,25.13539974243058,1.6491476473918856,-1.7962756525907406,5.119986932808786
1,"N(2,5²)",RRWMH,5,987.2467976343282,987.2467976343282,1.9273965794188908,25.720244390276427,1.9289790011620205,-1.4117249737386903,5.310830706004116
1,"N(2,5²)",RRWMH,6,974.9581156130361,974.9581156130361,1.9758805233542354,24.85332192812497,1.9141974078492154,-1.420003219104677,5.359758705053093
1,"N(2,5²)",RRWMH,7,953.3405105511797,953.3405105511797,1.8495468851685715,25.273063140392193,1.8749517786910357,-1.5631429459217847,5.216594352295477
1,"N(2,5²)",RRWMH,8,1039.8318136198438,1039.8318136198438,1.9116743886332985,24.980819405140387,1.9017610309751776,-1.4510671014860217,5.302271849348451
1,"N(2,5²)",RRWMH,9,1054.3407309071267,1054.3407309071267,2.1186014909447892,25.247156490074637,2.0767752128395633,-1.3894546054404555,5.581086696423653
1,"N(2,5²)",RRWMH,10,952.968515264824,952.968515264824,1.8779570185649666,23.793849070594536,1.8988221395890097,-1.3897498177442102,5.1802245785152845
1,"N(2,5²)",AM,1,4865.416529999198,4865.416529999198,1.9677695352758233,24.719933801767745,1.9414372066697627,-1.3875680833206365,5.281391517101527
1,"N(2,5²)",AM,2,4876.020139958335,4876.020139958335,1.9146591364718863,25.20926700014772,1.9562061168254292,-1.4402810124162446,5.2665599359691635
